,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_frac,max_voltage,min_frac,min_instability,min_voltage,nsteps,numsites
42,4.100929528,59.7607261,180.7798243,245.0745262,741.3653196,0.105263158,4.100929528,0.055555556,0.019965351,4.100929528,1,17
43,2.960717955,60.70016597,187.8233823,179.7160713,556.0920604,0.055555556,2.960717955,0.0,0.025050905,2.960717955,1,17
44,2.356906574,98.68777209,332.2203767,232.5978588,783.0123897,0.15,2.356906574,0.055555556,0.002812648,2.356906574,1,17
45,4.569277155,53.89656034,167.3898917,246.2683219,764.8508083,0.0625,4.569277155,0.0,0.05218493,4.569277155,1,15
46,7.366172785,73.47187322,242.2540284,541.206513,1784.485031,0.166666667,10.98218355,0.117647059,0.006167659,3.75016202,2,5
47,2.9688213,84.46389722,274.7060473,250.7582171,815.5531645,0.111111111,3.152631525,0.047619048,0.044943615,2.60120085,2,5
48,2.623638248,88.81963498,459.9314301,233.0305915,1206.693691,0.125,2.623638248,0.0,1.42e-14,2.623638248,1,7
49,3.302164795,39.67448282,171.0230026,131.0116804,564.7461382,0.052631579,3.302164795,0.0,0.007846205,3.302164795,1,18
50,3.45572225,39.67448282,172.5177038,137.103993,596.1732676,0.052631579,3.45572225,0.0,0.008531313,3.45572225,1,18
51,3.12912483,237.556085,821.9110646,743.3426441,2571.86232,0.333333333,3.12912483,0.2,0.019806669,3.12912483,1,4
52,2.400939247,119.3976894,544.8960214,286.6665985,1308.262244,0.15,2.971406428,0.0,0.001281302,2.115705657,2,17
53,2.44429887,119.3976894,523.5970279,291.8436373,1279.827624,0.15,2.928391355,0.0,1.07e-14,2.202252628,2,17
54,3.99143332,138.271448,553.4637108,551.9012646,2209.113497,0.153846154,4.270126765,0.0,0.006784727,3.712739875,2,11
55,3.002580677,378.7909956,1427.957384,1137.350524,4287.557249,0.291666667,3.438497173,0.0,0.030987915,2.50865636,4,17
56,2.752661035,135.8392934,596.3084336,373.9195299,1641.43499,0.214285714,2.752661035,0.083333333,0.045307471,2.752661035,1,11
57,3.730991342,70.39614205,257.1057927,262.6473965,959.2594866,0.083333333,3.730991342,0.0,0.007252791,3.730991342,1,11
58,3.610933902,70.39614205,263.6219337,254.1958159,951.921378,0.083333333,3.610933902,0.0,0.005100999,3.610933902,1,11
59,4.275809578,90.45664549,278.8848964,386.7753911,1192.458711,0.086956522,5.391871595,0.0,0.020222343,3.15974756,2,21
60,3.860929497,86.85600643,285.6086468,335.3449172,1102.714849,0.076923077,3.860929497,0.0,0.088158157,3.860929497,1,6
